date,page_views,unique_visitors,average_session_duration,bounce_rate
2024-02-20,27843,30462,00:05:59,0.35
2024-02-21,24051,36724,00:06:40,0.33
2024-02-22,36051,34229,00:04:53,0.62
2024-02-23,41760,30126,00:07:34,0.54
2024-02-24,46563,36608,00:06:59,0.68
2024-02-25,21136,22174,00:06:42,0.33
2024-02-26,39517,13308,00:04:48,0.47
2024-02-27,13268,11532,00:06:59,0.63
2024-02-28,12211,13829,00:05:11,0.55
2024-02-29,40684,21689,00:05:45,0.31
2024-03-01,36851,27651,00:04:39,0.33
2024-03-02,18069,13508,00:04:20,0.68
2024-03-03,30671,12760,00:04:17,0.63
2024-03-04,19612,10206,00:05:26,0.33
2024-03-05,27112,32243,00:06:57,0.62
2024-03-06,38028,38377,00:05:55,0.4
2024-03-07,37579,34276,00:04:49,0.7
2024-03-08,21706,31967,00:03:47,0.35
2024-03-09,15516,23103,00:07:50,0.54
2024-03-10,33929,32456,00:05:30,0.62
2024-03-11,38550,25206,00:06:23,0.65
2024-03-12,24885,17914,00:06:22,0.49
2024-03-13,39766,33797,00:04:16,0.32
2024-03-14,38744,14394,00:03:29,0.33
2024-03-15,38454,37559,00:07:27,0.33
2024-03-16,42444,9641,00:07:39,0.48
2024-03-17,10345,31690,00:06:44,0.41
2024-03-18,41772,31298,00:05:17,0.39
2024-03-19,36910,30755,00:07:19,0.6
2024-03-20,44016,39826,00:04:57,0.43
2024-03-21,16173,38367,00:06:35,0.56
2024-03-22,41194,28829,00:05:28,0.51
2024-03-23,39912,24234,00:03:39,0.62
2024-03-24,42425,14800,00:07:14,0.57
2024-03-25,17354,25578,00:05:51,0.47
2024-03-26,44585,38693,00:07:12,0.43
2024-03-27,48529,31552,00:03:47,0.38
2024-03-28,24184,11527,00:06:10,0.5
2024-03-29,11348,10532,00:05:42,0.58
2024-03-30,33132,32410,00:03:36,0.53
2024-03-31,13166,24141,00:06:39,0.31
2024-04-01,14580,19987,00:04:48,0.35
2024-04-02,42080,29512,00:07:25,0.49
2024-04-03,12793,28496,00:06:48,0.61
2024-04-04,13615,12298,00:06:16,0.31
2024-04-05,14213,21026,00:03:39,0.59
2024-04-06,21866,12199,00:06:35,0.66
2024-04-07,37214,31984,00:06:25,0.68
2024-04-08,20297,31083,00:06:44,0.47
2024-04-09,10100,8918,00:07:21,0.42
2024-04-10,12572,26478,00:05:39,0.35
2024-04-11,35507,17849,00:05:15,0.36
2024-04-12,42718,24137,00:07:58,0.33
2024-04-13,22015,27927,00:03:31,0.45
2024-04-14,42917,27538,00:04:49,0.31
2024-04-15,39107,14810,00:04:58,0.33
2024-04-16,49513,25699,00:07:49,0.48
2024-04-17,27708,36607,00:03:54,0.32
2024-04-18,34805,39810,00:05:25,0.39
2024-04-19,13324,10438,00:07:51,0.57
2024-04-20,14262,38291,00:06:27,0.47
2024-04-21,11563,24785,00:04:16,0.37
2024-04-22,29984,9395,00:03:37,0.62
2024-04-23,23384,30061,00:07:49,0.55
2024-04-24,32142,29260,00:04:36,0.6
2024-04-25,46241,14478,00:03:29,0.51
2024-04-26,47221,11296,00:06:51,0.37
2024-04-27,29673,39804,00:03:58,0.63
2024-04-28,43633,23895,00:05:14,0.44
2024-04-29,24930,17202,00:03:53,0.64
2024-04-30,21626,14204,00:07:58,0.69
2024-05-01,45683,25519,00:03:14,0.52
2024-05-02,26782,11097,00:07:37,0.55
2024-05-03,12169,20549,00:04:59,0.53
2024-05-04,21226,23367,00:07:23,0.33
2024-05-05,14659,12621,00:03:14,0.62
2024-05-06,40623,27606,00:07:16,0.7
2024-05-07,34536,32589,00:04:38,0.47
2024-05-08,17726,22709,00:06:50,0.33
2024-05-09,40417,33553,00:06:56,0.54
2024-05-10,15672,37225,00:04:37,0.62
2024-05-11,21436,39156,00:04:11,0.49
2024-05-12,16701,22425,00:05:48,0.44
2024-05-13,35842,30913,00:03:23,0.36
2024-05-14,25088,9877,00:06:42,0.52
2024-05-15,18142,21830,00:03:39,0.43
2024-05-16,22642,36012,00:06:19,0.44
2024-05-17,37417,10449,00:03:58,0.66
2024-05-18,35532,21069,00:07:45,0.5
2024-05-19,11439,8896,00:04:12,0.52
2024-05-20,16998,9558,00:07:27,0.43
2024-05-21,44183,35262,00:05:31,0.47
2024-05-22,43826,16197,00:04:14,0.42
2024-05-23,20547,28295,00:03:59,0.62
2024-05-24,37856,18256,00:05:34,0.69
2024-05-25,33090,23210,00:03:39,0.35
2024-05-26,26549,23504,00:05:18,0.32
2024-05-27,47340,28317,00:05:21,0.46
2024-05-28,44902,32493,00:07:54,0.68
2024-05-29,47215,16842,00:06:33,0.52
2024-05-30,45435,19518,00:07:30,0.62
2024-05-31,30724,12701,00:06:42,0.46
2024-06-01,43522,21509,00:03:41,0.5
2024-06-02,39979,29704,00:07:28,0.41
2024-06-03,27918,33346,00:06:13,0.35
2024-06-04,18901,30301,00:07:44,0.43
2024-06-05,45375,9659,00:05:29,0.57
2024-06-06,36469,18211,00:07:25,0.32
2024-06-07,46266,20174,00:03:11,0.58
2024-06-08,17238,26165,00:06:44,0.59
2024-06-09,14159,22296,00:04:45,0.49
2024-06-10,14418,26478,00:03:41,0.39
2024-06-11,48587,26894,00:05:15,0.39
2024-06-12,35899,24829,00:07:24,0.49
2024-06-13,19353,31562,00:04:43,0.53
2024-06-14,20625,11291,00:05:43,0.42
2024-06-15,49984,35170,00:04:50,0.44
2024-06-16,39366,22970,00:04:52,0.58
2024-06-17,34819,35071,00:05:41,0.4
2024-06-18,23054,10200,00:03:18,0.49
2024-06-19,26427,37560,00:06:36,0.63
2024-06-20,27726,12577,00:05:28,0.53
2024-06-21,21451,20860,00:03:59,0.62
2024-06-22,48364,19410,00:07:56,0.55
2024-06-23,34275,38946,00:05:32,0.43
2024-06-24,36167,21931,00:06:50,0.37
2024-06-25,47570,29164,00:07:35,0.52
2024-06-26,44130,28231,00:06:38,0.61
2024-06-27,45902,17730,00:06:18,0.62
2024-06-28,39452,10710,00:05:41,0.4
2024-06-29,32306,27110,00:03:52,0.68
2024-06-30,48079,22519,00:04:15,0.66
2024-07-01,38904,20831,00:04:45,0.45
2024-07-02,28208,17210,00:03:51,0.34
2024-07-03,14362,24363,00:05:14,0.45
2024-07-04,49906,21420,00:04:39,0.5
2024-07-05,15389,34943,00:03:43,0.54
2024-07-06,34442,8982,00:07:45,0.38
2024-07-07,20602,19175,00:04:42,0.5
2024-07-08,16720,37867,00:04:39,0.55
2024-07-09,11489,33754,00:06:51,0.53
2024-07-10,31766,19178,00:07:50,0.4
2024-07-11,47726,14066,00:07:52,0.37
2024-07-12,33651,25852,00:04:42,0.45
2024-07-13,24773,33239,00:05:35,0.47
2024-07-14,28067,13546,00:05:27,0.49
2024-07-15,36636,21127,00:05:15,0.52
2024-07-16,49096,24659,00:07:44,0.6
2024-07-17,23658,32401,00:06:22,0.48
2024-07-18,46936,23912,00:07:16,0.6
2024-07-19,46386,35135,00:03:42,0.41
2024-07-20,40675,17028,00:06:56,0.36
2024-07-21,17877,15924,00:03:53,0.46
2024-07-22,31963,31955,00:04:12,0.55
2024-07-23,40465,14989,00:04:29,0.65
2024-07-24,15539,30345,00:06:10,0.48
2024-07-25,41569,28535,00:04:48,0.32
2024-07-26,20668,20953,00:06:58,0.37
2024-07-27,23609,37428,00:06:37,0.4
2024-07-28,22609,28699,00:05:10,0.38
2024-07-29,34919,11271,00:03:59,0.63
2024-07-30,31279,8161,00:04:46,0.31
2024-07-31,25515,31459,00:03:57,0.56
2024-08-01,21865,12761,00:06:22,0.33
2024-08-02,19121,21117,00:05:20,0.5
2024-08-03,38901,29089,00:03:38,0.6
2024-08-04,48515,15953,00:07:31,0.31
2024-08-05,38345,33542,00:06:31,0.41
2024-08-06,17563,26923,00:04:24,0.51
2024-08-07,10731,36905,00:03:34,0.48
2024-08-08,48152,15584,00:03:48,0.58
2024-08-09,34744,13404,00:05:27,0.57
2024-08-10,47474,38096,00:07:26,0.63
2024-08-11,11027,14929,00:06:14,0.6
2024-08-12,17510,10005,00:05:29,0.61
2024-08-13,49715,18382,00:04:55,0.54
2024-08-14,29657,24257,00:04:34,0.52
2024-08-15,23639,28378,00:03:59,0.65
2024-08-16,36232,10899,00:07:18,0.68
2024-08-17,17268,32045,00:06:36,0.38
2024-08-18,45124,21945,00:04:27,0.55
2024-08-19,19259,13504,00:03:22,0.38
2024-08-20,23472,37119,00:05:45,0.53
2024-08-21,30203,37304,00:05:20,0.51
2024-08-22,28900,18453,00:06:27,0.58
2024-08-23,44784,11102,00:06:51,0.31
2024-08-24,21204,32602,00:03:49,0.33
2024-08-25,33335,25444,00:05:53,0.48
2024-08-26,33129,21446,00:07:36,0.62
2024-08-27,27014,11284,00:06:50,0.52
2024-08-28,24040,27882,00:03:27,0.63
2024-08-29,32359,15594,00:07:51,0.45
2024-08-30,18736,34810,00:04:16,0.42
2024-08-31,41160,27653,00:05:58,0.63
2024-09-01,30791,8718,00:04:41,0.67
2024-09-02,38604,9349,00:03:33,0.63
2024-09-03,15283,23253,00:04:33,0.46
2024-09-04,25767,20342,00:06:38,0.34
2024-09-05,16330,18661,00:04:59,0.62
2024-09-06,15516,33110,00:06:53,0.64
2024-09-07,29943,20158,00:04:24,0.53
2024-09-08,22938,22801,00:04:12,0.52
2024-09-09,28729,20488,00:06:37,0.45
2024-09-10,24159,11936,00:06:58,0.46
2024-09-11,30900,18731,00:07:18,0.49
2024-09-12,34433,34582,00:06:40,0.47
2024-09-13,13090,31435,00:07:36,0.51
2024-09-14,24282,29080,00:06:12,0.36
2024-09-15,21626,29684,00:05:22,0.5
2024-09-16,21662,13783,00:03:12,0.46
2024-09-17,35806,35856,00:03:44,0.47
2024-09-18,38559,33255,00:03:39,0.45
2024-09-19,45386,10131,00:07:34,0.41
2024-09-20,44457,19051,00:04:57,0.45
2024-09-21,43402,32598,00:03:39,0.52
2024-09-22,40642,39479,00:07:50,0.56
2024-09-23,24726,27191,00:05:18,0.34
2024-09-24,21922,38392,00:07:39,0.64
2024-09-25,25121,38232,00:05:57,0.4
2024-09-26,29289,33428,00:07:36,0.45
2024-09-27,24555,11422,00:05:13,0.51
2024-09-28,26767,19753,00:07:22,0.49
2024-09-29,11828,13185,00:06:11,0.6
2024-09-30,36367,13053,00:06:22,0.36
2024-10-01,10660,16264,00:05:35,0.36
2024-10-02,10675,30394,00:07:17,0.42
2024-10-03,38873,21010,00:06:57,0.52
2024-10-04,16235,28684,00:03:25,0.7
2024-10-05,49010,36530,00:07:16,0.4
2024-10-06,11479,17869,00:06:24,0.6
2024-10-07,32310,30172,00:05:22,0.64
2024-10-08,47056,38005,00:06:58,0.62
2024-10-09,17726,37065,00:04:18,0.58
2024-10-10,29719,16723,00:05:38,0.4
2024-10-11,28116,10354,00:03:33,0.51
2024-10-12,11451,9140,00:05:30,0.59
2024-10-13,39504,16129,00:05:49,0.61
2024-10-14,12856,36393,00:04:54,0.45
2024-10-15,18146,24782,00:03:24,0.47
2024-10-16,12135,26899,00:04:17,0.3
2024-10-17,47015,15926,00:06:37,0.59
2024-10-18,21878,29016,00:07:19,0.33
2024-10-19,15357,32021,00:03:29,0.5
2024-10-20,49330,24336,00:06:50,0.35
2024-10-21,36879,37017,00:04:46,0.69
2024-10-22,38659,8643,00:04:10,0.41
2024-10-23,16343,37257,00:05:23,0.47
2024-10-24,44400,34901,00:06:27,0.46
2024-10-25,41382,18087,00:03:41,0.57
2024-10-26,14287,22322,00:07:54,0.38
2024-10-27,10251,29799,00:04:21,0.54
2024-10-28,28328,34422,00:06:27,0.43
2024-10-29,17161,26602,00:03:41,0.68
2024-10-30,45145,19274,00:04:39,0.41
2024-10-31,29308,23962,00:07:58,0.62
2024-11-01,13032,33741,00:07:31,0.64
2024-11-02,29424,21671,00:06:25,0.59
2024-11-03,20519,33114,00:05:42,0.47
2024-11-04,41221,28540,00:03:41,0.68
2024-11-05,14661,9068,00:03:42,0.55
2024-11-06,41231,16868,00:06:22,0.64
2024-11-07,11800,8843,00:03:28,0.63
2024-11-08,25940,15884,00:04:34,0.69
2024-11-09,26841,20574,00:07:17,0.64
2024-11-10,24205,11753,00:05:59,0.31
2024-11-11,26538,18262,00:03:41,0.56
2024-11-12,17133,26283,00:03:22,0.59
2024-11-13,17310,37904,00:06:14,0.64
2024-11-14,43561,31239,00:05:24,0.46
2024-11-15,45334,21463,00:06:53,0.63
2024-11-16,23460,33648,00:05:27,0.54
2024-11-17,10273,27581,00:04:12,0.45
2024-11-18,44598,28490,00:04:37,0.38
2024-11-19,18703,28187,00:03:10,0.31
2024-11-20,45051,23100,00:04:19,0.32
2024-11-21,30602,37339,00:07:15,0.57
2024-11-22,29775,32558,00:06:42,0.51
2024-11-23,25671,20422,00:04:16,0.67
2024-11-24,33281,39477,00:07:56,0.31
2024-11-25,44218,27582,00:07:36,0.41
2024-11-26,36445,33456,00:05:19,0.56
2024-11-27,29771,10949,00:07:36,0.66
2024-11-28,37515,35286,00:07:32,0.57
2024-11-29,42032,32688,00:06:12,0.33
2024-11-30,21404,39278,00:04:34,0.49
2024-12-01,40807,10514,00:03:19,0.49
2024-12-02,39714,28565,00:05:25,0.68
2024-12-03,30096,27914,00:04:42,0.48
2024-12-04,15251,35454,00:05:12,0.42
2024-12-05,14989,25931,00:03:17,0.63
2024-12-06,45575,17363,00:07:16,0.35
2024-12-07,24849,21855,00:03:18,0.64
2024-12-08,42687,15903,00:04:28,0.39
2024-12-09,36810,34791,00:03:42,0.41
2024-12-10,27818,26421,00:07:59,0.34
2024-12-11,31425,20502,00:07:53,0.36
2024-12-12,31024,27360,00:03:59,0.56
2024-12-13,12034,24714,00:03:16,0.36
2024-12-14,10971,16375,00:07:24,0.68
2024-12-15,44138,25639,00:05:20,0.35
2024-12-16,35411,28669,00:06:15,0.57
2024-12-17,20668,31062,00:04:40,0.44
2024-12-18,35222,13496,00:05:27,0.42
2024-12-19,23335,23254,00:06:55,0.31
2024-12-20,45270,17667,00:03:25,0.37
2024-12-21,41120,28387,00:07:44,0.69
2024-12-22,20435,38089,00:03:24,0.35
2024-12-23,30795,15165,00:06:27,0.46
2024-12-24,33095,19396,00:07:21,0.55
2024-12-25,30834,23336,00:07:30,0.39
2024-12-26,10636,12461,00:03:42,0.33
2024-12-27,35834,8165,00:04:42,0.34
2024-12-28,34570,26436,00:04:54,0.56
2024-12-29,22999,22851,00:04:39,0.58
2024-12-30,22593,14714,00:03:10,0.56
2024-12-31,27133,8309,00:03:14,0.33
2025-01-01,31566,39781,00:03:42,0.41
2023-01-02,43885,20006,00:03:23,0.55
2023-01-03,22028,8480,00:03:24,0.61
2023-01-04,27044,14342,00:05:30,0.39
2023-01-05,36344,36503,00:06:45,0.53
2023-01-06,11975,16994,00:05:14,0.58
2023-01-07,30998,18003,00:04:23,0.41
2023-01-08,11356,20710,00:06:54,0.48
2023-01-09,30638,28042,00:05:23,0.36
2023-01-10,39883,28381,00:07:58,0.51
2023-01-11,30408,29593,00:04:19,0.48
2023-01-12,42601,20355,00:04:55,0.37
2023-01-13,22093,18793,00:05:34,0.41
2023-01-14,16380,34978,00:03:40,0.34
2023-01-15,18220,19166,00:03:55,0.55
2023-01-16,15110,20865,00:04:56,0.3
2023-01-17,42794,29452,00:05:37,0.44
2023-01-18,19654,18171,00:06:57,0.38
2023-01-19,13951,11331,00:03:35,0.32
2023-01-20,18251,9694,00:06:35,0.56
2023-01-21,36636,19029,00:06:11,0.31
2023-01-22,26831,15100,00:05:51,0.66
2023-01-23,23653,13691,00:07:27,0.49
2023-01-24,37435,13179,00:03:54,0.47
2023-01-25,43188,12458,00:05:56,0.66
2023-01-26,35795,27854,00:06:37,0.37
2023-01-27,30393,29716,00:04:10,0.6
2023-01-28,31140,11507,00:05:53,0.44
2023-01-29,24994,11079,00:03:43,0.66
2023-01-30,21067,23314,00:07:21,0.32
2023-01-31,36788,35659,00:04:32,0.49
2023-02-01,24291,24113,00:06:57,0.64
2023-02-02,25689,31471,00:05:19,0.53
2023-02-03,29980,32164,00:05:35,0.41
2023-02-04,29103,24106,00:05:20,0.33
2023-02-05,23596,28502,00:07:55,0.63
2023-02-06,38511,21923,00:04:19,0.47
2023-02-07,48756,14986,00:03:29,0.59
2023-02-08,49427,17114,00:06:12,0.48
2023-02-09,41874,24721,00:06:49,0.42
2023-02-10,31390,22300,00:07:13,0.57
2023-02-11,11475,31898,00:05:16,0.44
2023-02-12,15513,25604,00:06:41,0.44
2023-02-13,36271,18100,00:05:27,0.4
2023-02-14,39646,8937,00:06:57,0.35
2023-02-15,47603,13091,00:04:32,0.49
2023-02-16,38697,19066,00:07:56,0.42
2023-02-17,31694,33486,00:05:11,0.4
2023-02-18,14014,31660,00:03:43,0.62
2023-02-19,10119,9946,00:03:19,0.31
2023-02-20,13066,29550,00:06:53,0.65
2023-02-21,10605,30770,00:07:51,0.47
2023-02-22,33627,27485,00:03:32,0.41
2023-02-23,35577,34755,00:03:40,0.6
2023-02-24,40440,31818,00:07:23,0.64
2023-02-25,27633,38254,00:07:22,0.37
2023-02-26,11932,9835,00:03:50,0.59
2023-02-27,35035,32333,00:07:44,0.55
2023-02-28,13629,27818,00:04:17,0.34
2023-03-01,34924,10230,00:06:16,0.59
2023-03-02,19890,29084,00:06:51,0.48
2023-03-03,29907,9723,00:04:50,0.31
2023-03-04,45138,19990,00:04:24,0.32
2023-03-05,30618,35337,00:04:15,0.5
2023-03-06,48423,23284,00:03:14,0.69
2023-03-07,24853,12935,00:05:23,0.62
2023-03-08,38922,30732,00:05:45,0.33
2023-03-09,25006,35975,00:07:20,0.47
2023-03-10,11823,28249,00:03:43,0.61
2023-03-11,21324,17953,00:03:41,0.6
2023-03-12,37530,35540,00:03:42,0.67
2023-03-13,17457,23344,00:05:55,0.42
2023-03-14,27681,35239,00:06:55,0.67
2023-03-15,22603,14027,00:06:14,0.46
2023-03-16,13598,12220,00:04:45,0.31
2023-03-17,41618,33830,00:05:28,0.37
2023-03-18,48044,12540,00:07:30,0.54
2023-03-19,48159,24316,00:06:24,0.55
2023-03-20,10540,30922,00:07:26,0.3
2023-03-21,28750,25713,00:04:56,0.31
2023-03-22,13715,22705,00:07:33,0.49
2023-03-23,16994,38141,00:04:34,0.3
2023-03-24,47010,33639,00:05:43,0.32
2023-03-25,11661,24760,00:05:44,0.68
2023-03-26,41959,13173,00:04:44,0.41
2023-03-27,48003,10012,00:04:31,0.48
2023-03-28,39004,28452,00:04:19,0.56
2023-03-29,44634,12499,00:04:45,0.62
2023-03-30,34849,12083,00:07:53,0.63
2023-03-31,30265,32007,00:04:55,0.39
2023-04-01,16954,9409,00:05:58,0.49
2023-04-02,47401,37479,00:07:34,0.48
2023-04-03,45936,22146,00:05:49,0.66
2023-04-04,18121,33771,00:05:37,0.34
2023-04-05,38662,30264,00:07:26,0.56
2023-04-06,21345,8506,00:06:25,0.36
2023-04-07,27787,22055,00:05:42,0.33
2023-04-08,31835,39579,00:04:22,0.48
2023-04-09,10366,27760,00:07:17,0.4
2023-04-10,21233,17275,00:04:55,0.63
2023-04-11,39012,39855,00:04:16,0.53
2023-04-12,25495,29886,00:04:13,0.34
2023-04-13,39061,27628,00:06:25,0.52
2023-04-14,49272,26960,00:06:49,0.43
2023-04-15,10034,35794,00:04:38,0.48
2023-04-16,16492,33336,00:07:40,0.56
2023-04-17,14043,19800,00:04:31,0.43
2023-04-18,28852,30760,00:07:57,0.5
2023-04-19,35189,26500,00:07:17,0.67
2023-04-20,12275,13864,00:06:44,0.46
2023-04-21,39760,14331,00:03:52,0.41
2023-04-22,48261,13026,00:06:21,0.59
2023-04-23,26280,28644,00:05:27,0.35
2023-04-24,25492,28462,00:06:10,0.39
2023-04-25,45936,19783,00:05:13,0.39
2023-04-26,42281,15529,00:04:16,0.38
2023-04-27,44960,28454,00:06:55,0.44
2023-04-28,22842,38023,00:05:18,0.32
2023-04-29,41172,34974,00:03:44,0.35
2023-04-30,44043,32441,00:04:39,0.42
2023-05-01,34158,30505,00:03:10,0.38
2023-05-02,28024,9122,00:07:27,0.6
2023-05-03,25510,32138,00:04:29,0.42
2023-05-04,17924,10092,00:07:44,0.37
2023-05-05,24173,25351,00:06:56,0.58
2023-05-06,38070,26582,00:07:51,0.55
2023-05-07,17732,39067,00:06:44,0.62
2023-05-08,16328,14169,00:07:53,0.62
2023-05-09,24284,15755,00:07:50,0.43
2023-05-10,38550,8647,00:03:45,0.58
2023-05-11,43727,20192,00:03:51,0.36
2023-05-12,22087,23336,00:07:56,0.57
2023-05-13,18011,38034,00:07:31,0.55
2023-05-14,10382,31942,00:07:41,0.48
2023-05-15,26705,36846,00:03:21,0.5
2023-05-16,16545,8929,00:04:27,0.66
2023-05-17,39036,20493,00:05:18,0.53
2023-05-18,17371,29363,00:04:27,0.41
2023-05-19,31351,9332,00:03:35,0.46
2023-05-20,45880,23589,00:05:57,0.58
2023-05-21,22756,26889,00:05:33,0.64
2023-05-22,27487,34018,00:03:50,0.67
2023-05-23,23074,29641,00:04:42,0.7
2023-05-24,11282,26789,00:06:22,0.62
2023-05-25,15786,26127,00:07:13,0.37
2023-05-26,30843,38605,00:05:57,0.31
2023-05-27,28891,16899,00:03:47,0.63
2023-05-28,42699,16065,00:05:53,0.46
2023-05-29,23290,14718,00:07:34,0.63
2023-05-30,30822,20231,00:05:29,0.59
2023-05-31,49823,32029,00:05:29,0.53
2023-06-01,32549,33483,00:03:31,0.37
2023-06-02,29477,38816,00:05:34,0.53
2023-06-03,13350,17923,00:03:17,0.63
2023-06-04,19940,9468,00:05:29,0.47
2023-06-05,19393,23065,00:04:46,0.44
2023-06-06,22585,9944,00:03:51,0.49
2023-06-07,12229,13629,00:03:52,0.34
2023-06-08,27310,33275,00:04:46,0.44
2023-06-09,12263,14936,00:05:58,0.37
2023-06-10,27392,12914,00:06:43,0.38
2023-06-11,43909,10413,00:04:17,0.54
2023-06-12,30269,30792,00:05:19,0.57
2023-06-13,22292,15374,00:07:39,0.68
2023-06-14,45252,28066,00:04:12,0.51
2023-06-15,40028,10804,00:03:33,0.63
2023-06-16,22619,24072,00:06:37,0.45
2023-06-17,26457,18497,00:04:59,0.35
2023-06-18,15515,36085,00:06:29,0.35
2023-06-19,11059,34128,00:05:50,0.36
2023-06-20,15705,26829,00:06:48,0.34
2023-06-21,40473,9725,00:04:50,0.67
2023-06-22,43745,33834,00:06:44,0.54
2023-06-23,24605,17492,00:03:49,0.53
2023-06-24,24490,22230,00:05:52,0.69
2023-06-25,42682,11367,00:03:36,0.45
2023-06-26,45579,24087,00:07:48,0.47
2023-06-27,39018,13333,00:07:52,0.49
2023-06-28,47875,9267,00:05:44,0.44
2023-06-29,32262,26500,00:05:54,0.43
2023-06-30,49079,38078,00:07:16,0.34
2023-07-01,48982,23211,00:07:32,0.57
2023-07-02,20902,22470,00:06:21,0.55
2023-07-03,47117,27684,00:03:57,0.38
2023-07-04,18456,13815,00:06:56,0.56
2023-07-05,31595,33591,00:04:58,0.36
2023-07-06,46397,19521,00:05:55,0.57
2023-07-07,16345,21649,00:04:22,0.65
2023-07-08,10229,25520,00:06:36,0.58
2023-07-09,33829,18537,00:05:31,0.53
2023-07-10,42042,21439,00:03:15,0.67
2023-07-11,35843,30888,00:04:33,0.51
2023-07-12,44855,34953,00:05:16,0.55
2023-07-13,32632,11560,00:06:51,0.34
2023-07-14,33048,17621,00:06:47,0.59
2023-07-15,24307,12455,00:04:22,0.65
2023-07-16,29946,20046,00:04:39,0.5
2023-07-17,24499,26279,00:07:19,0.34
2023-07-18,35408,11310,00:06:45,0.56
2023-07-19,23965,35112,00:06:50,0.68
2023-07-20,21536,33288,00:03:19,0.45
2023-07-21,22946,8640,00:06:14,0.68
2023-07-22,23217,14965,00:06:14,0.42
2023-07-23,21382,35838,00:04:56,0.5
2023-07-24,34493,28988,00:03:51,0.62
2023-07-25,43721,17229,00:04:20,0.49
2023-07-26,43962,33111,00:04:14,0.3
2023-07-27,19848,15152,00:03:41,0.32
2023-07-28,49889,22396,00:03:27,0.52
2023-07-29,42697,26254,00:03:50,0.64
2023-07-30,29992,26470,00:03:13,0.57
2023-07-31,46467,30860,00:07:45,0.61
2023-08-01,19208,25619,00:07:31,0.66
2023-08-02,42414,30664,00:04:44,0.53
2023-08-03,33219,14822,00:03:43,0.51
2023-08-04,30308,22698,00:05:12,0.39
2023-08-05,19826,22900,00:03:10,0.31
2023-08-06,24676,11714,00:04:45,0.66
2023-08-07,15196,18099,00:07:36,0.39
2023-08-08,21822,17307,00:07:40,0.48
2023-08-09,13889,16124,00:05:56,0.3
2023-08-10,29983,20358,00:03:52,0.43
2023-08-11,20185,22717,00:06:15,0.41
2023-08-12,19109,35939,00:04:24,0.62
2023-08-13,26577,18773,00:03:45,0.52
2023-08-14,23251,33635,00:07:23,0.42
2023-08-15,42769,11264,00:04:57,0.68
2023-08-16,34476,36103,00:04:23,0.46
2023-08-17,13607,23402,00:06:48,0.5
2023-08-18,10372,39990,00:07:33,0.66
2023-08-19,45386,30937,00:06:51,0.66
2023-08-20,14879,32859,00:03:38,0.42
2023-08-21,23934,31407,00:06:25,0.48
2023-08-22,47253,14234,00:03:36,0.51
2023-08-23,44742,9584,00:07:21,0.64
2023-08-24,18317,27127,00:04:23,0.43
2023-08-25,31348,9313,00:06:12,0.33
2023-08-26,10751,28611,00:03:10,0.38
2023-08-27,14775,29318,00:05:25,0.67
2023-08-28,36566,22928,00:04:20,0.46
